mesocosm,depth_cm,depth_abstract,type,olivine_size,Oltreat,plant,plant_yesno,Al_ppm,Ba_ppm,Co_ppm,Cr_ppm,Fe_ppm,Mg_ppm,Mn_ppm,Ni_ppm,Sr_ppm,Zn_ppm
15,-18,bottom,mesocosm,fine,ol_yes,Wheat,plant_yes,13678.3360835262,236.347183133896,7.80574450691138,47.2282797294974,11470.4304165945,847.676121357994,250.027736038059,9.09777378598215,70.1344955953269,66.3469124027072
16,-2,surface,blank,fine,ol_yes,noPlant,plant_no,25480.6430327137,203.290640170482,24.1553065563654,446.497822098285,17191.132858551,65767.9655475848,335.446496418628,401.500332240648,75.6967279274793,47.3665574067997
16,-10,middle,blank,fine,ol_yes,noPlant,plant_no,17976.9528534631,245.649797293554,6.74837946857047,53.9273870414162,11145.3259312389,1607.69011069526,233.787959595193,8.90443358793965,76.544505781467,49.6393392675082
16,-18,bottom,blank,fine,ol_yes,noPlant,plant_no,12789.6090204962,231.515704301835,7.39111079016011,50.8870477324883,12296.7076396333,847.89099704345,255.863805049779,7.85577168886238,69.4527070816226,61.6928639628185
17,-2,surface,blank,coarse,ol_yes,noPlant,plant_no,30753.7309758967,229.40689328755,23.4594510130537,321.728682248993,19370.0733106761,56584.837337352,428.089758814898,338.251188068297,82.8498760726103,68.4661928336142
17,-10,middle,blank,coarse,ol_yes,noPlant,plant_no,12865.987226067,241.70942921583,7.88991256991299,47.7116066271754,11133.4976409687,978.141729729007,228.228741406214,7.84162924997939,66.739360497958,64.4824360059782
17,-18,bottom,blank,coarse,ol_yes,noPlant,plant_no,13867.903288971,247.089249965518,7.86887191267559,45.3605688301003,10738.6837558182,1031.50735237043,200.410801075723,9.03509361435489,63.8430102059768,59.2567683304935
18,-2,surface,blank,fine,ol_yes,noPlant,plant_no,27979.046554299,213.63399930499,27.7823133902512,540.783174686715,19972.0821998067,74193.2782147834,421.309336265426,455.502324729672,80.447434473422,68.2717146943722
18,-10,middle,blank,fine,ol_yes,noPlant,plant_no,22503.724309951,251.759314569827,8.70600606749834,48.0226991024618,14341.5838868832,1352.13522089845,383.92533304125,9.07297309170987,76.0038263459271,56.2745958983854
18,-18,bottom,blank,fine,ol_yes,noPlant,plant_no,14078.4186528793,273.770329839821,8.18800280799072,47.9309058693634,11581.6508204787,874.698531856791,257.460963039728,8.61472844244495,64.6683871780036,72.075971760878
19,-2,surface,blank,coarse,ol_yes,noPlant,plant_no,27536.6616008458,250.150588630535,21.0128297208857,361.921458344349,26029.1910247218,49529.740532892,358.835077809158,301.444000342587,78.0365838548225,92.7926108121988
19,-10,middle,blank,coarse,ol_yes,noPlant,plant_no,66076.4457993032,265.996293570577,8.16534591961564,57.4260160536779,13394.6953305723,1075.41187657332,256.191267035203,8.44537346960061,83.0795579675789,54.5023468833731
19,-18,bottom,blank,coarse,ol_yes,noPlant,plant_no,24805.1893450445,247.280276370126,7.84402291321877,54.7143958195638,10862.7631684001,577.77613119369,201.837642795877,7.41205494971673,69.4949314593367,54.390991135006
20,-2,surface,blank,coarse,ol_yes,noPlant,plant_no,34830.2998368888,268.225321723262,25.8505549215909,337.157115959225,19828.9507433196,68746.1824019512,449.35166677099,417.979407045674,92.8208408554052,70.6821083296011
20,-10,middle,blank,coarse,ol_yes,noPlant,plant_no,17938.2399709456,241.559663446276,8.18370068404746,51.7781140243902,10828.5653580256,1247.02903888844,238.618961678373,11.0545932541914,68.0944615649007,52.0828639715063
20,-18,bottom,blank,coarse,ol_yes,noPlant,plant_no,7953.07747538056,248.561602978808,8.00658432629139,44.2780454470199,10764.9654121422,438.931797464714,202.068282841007,9.17614729239779,55.6679156983041,57.1470233651448
21,-2,surface,blank,fine,ol_yes,noPlant,plant_no,23151.1504481097,214.109458694335,24.7935686315547,463.522009864954,18515.7101186309,64667.5287063041,340.30133823638,397.352674678171,78.3777413694015,128.924638745714
